State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
72,"Corozal Municipio, Puerto Rico",34933.0,38.1,14752.0,7887.0,19146.0,54.807774883348124,9.435204534394412
72,"Maunabo Municipio, Puerto Rico",11297.0,43.5,17636.0,8830.0,5945.0,52.62459059927414,6.506152075772329
72,"Peñuelas Municipio, Puerto Rico",21661.0,36.4,16868.0,7983.0,12379.0,57.14879276118369,7.391163842851207
72,"Ponce Municipio, Puerto Rico",148863.0,39.5,16561.0,10775.0,75187.0,50.50751361990555,4.7110430395732985
72,"San Sebastián Municipio, Puerto Rico",38970.0,42.0,14275.0,8072.0,21472.0,55.09879394405953,8.48601488324352
72,"Toa Alta Municipio, Puerto Rico",74169.0,37.1,29672.0,14162.0,22070.0,29.756367215413448,5.751729159082636
72,"Toa Baja Municipio, Puerto Rico",81905.0,38.9,24583.0,12240.0,29279.0,35.74751236188267,8.015383676210243
72,"Vieques Municipio, Puerto Rico",8931.0,41.4,16261.0,11136.0,3260.0,36.50207143656925,4.792296495353264
72,"Yabucoa Municipio, Puerto Rico",35025.0,41.6,15586.0,8672.0,18297.0,52.23982869379015,7.665952890792291
72,"Aguada Municipio, Puerto Rico",39470.0,41.0,16199.0,9001.0,20558.0,52.08512794527489,6.430200152014188
72,"Caguas Municipio, Puerto Rico",134269.0,39.7,24229.0,13904.0,50442.0,37.5678674898897,6.3328095092687064
72,"Canóvanas Municipio, Puerto Rico",46779.0,39.0,19986.0,11094.0,19930.0,42.60458752859189,9.305457577117938
72,"Cidra Municipio, Puerto Rico",41181.0,38.7,20389.0,10965.0,17723.0,43.03683737646002,6.442291347951725
72,"Coamo Municipio, Puerto Rico",39796.0,39.4,19110.0,10307.0,19197.0,48.23851643381244,2.6083023419439137
72,"Dorado Municipio, Puerto Rico",37722.0,39.5,29354.0,15495.0,12475.0,33.0708870155347,8.228619903504587
72,"Luquillo Municipio, Puerto Rico",18952.0,39.8,19377.0,10434.0,8649.0,45.636344449134654,11.191430983537357
72,"Barranquitas Municipio, Puerto Rico",29237.0,35.5,15694.0,7716.0,17530.0,59.95827205253617,2.725997879399391
72,"Orocovis Municipio, Puerto Rico",21906.0,37.9,14296.0,7326.0,12276.0,56.039441248972885,9.72792842143705
72,"San Lorenzo Municipio, Puerto Rico",38689.0,40.2,18589.0,10497.0,17626.0,45.55816898860141,3.858978004083848
72,"Añasco Municipio, Puerto Rico",27892.0,41.3,18765.0,9344.0,12618.0,45.23877814427076,5.284669439265739
72,"Ceiba Municipio, Puerto Rico",12238.0,40.9,18998.0,11840.0,5285.0,43.18516097401536,3.8568393528354306
72,"Ciales Municipio, Puerto Rico",17325.0,40.5,14432.0,8049.0,9970.0,57.54689754689755,4.871572871572871
72,"Comerío Municipio, Puerto Rico",19914.0,38.1,13523.0,7047.0,11657.0,58.53670784372803,8.360952094004219
72,"Isabela Municipio, Puerto Rico",43314.0,40.8,16333.0,8798.0,23262.0,53.705499376644966,6.016530452047837
72,"Jayuya Municipio, Puerto Rico",15297.0,36.3,15615.0,7179.0,9065.0,59.25998561809505,7.864287115120612
72,"Lares Municipio, Puerto Rico",27321.0,41.1,12820.0,8212.0,15252.0,55.82518941473592,12.649610189963765
72,"Las Piedras Municipio, Puerto Rico",38253.0,38.1,20587.0,10342.0,17358.0,45.37683318955376,7.050427417457454
72,"Río Grande Municipio, Puerto Rico",51768.0,40.2,22584.0,10804.0,19441.0,37.55408746716118,9.849714109102148
72,"San Juan Municipio, Puerto Rico",355181.0,41.8,21677.0,18160.0,147147.0,41.4287363344323,6.382942781286161
72,"Vega Alta Municipio, Puerto Rico",38589.0,37.8,18053.0,10492.0,19087.0,49.462281997460416,6.815413718935448
72,"Vega Baja Municipio, Puerto Rico",54754.0,40.1,18900.0,10197.0,23835.0,43.53106622347226,5.230668079044453
72,"Maricao Municipio, Puerto Rico",6180.0,42.7,13462.0,5943.0,4020.0,65.04854368932038,3.3009708737864076
72,"Aibonito Municipio, Puerto Rico",24008.0,40.7,18387.0,10224.0,11806.0,49.17527490836388,1.732755748083972
72,"Guayanilla Municipio, Puerto Rico",19578.0,40.3,14988.0,8347.0,10869.0,55.51639595464297,7.258146899581162
72,"Juncos Municipio, Puerto Rico",39704.0,37.6,18533.0,9017.0,20219.0,50.9243401168648,10.50020149103365
72,"Lajas Municipio, Puerto Rico",23893.0,43.4,13896.0,7229.0,14454.0,60.494705562298584,4.490855062152095
72,"Sabana Grande Municipio, Puerto Rico",23610.0,40.9,15736.0,9158.0,11506.0,48.73358746293943,6.272765777213046
72,"Adjuntas Municipio, Puerto Rico",18525.0,39.5,11680.0,7117.0,11849.0,63.96221322537112,13.889338731443994
