County,State,Year,Number of Incidents,Total Killed,Total Injured,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
Cook, IL,2017,3272,722,3044,41.7496,-87.5714,5238541,36.4,59426,33722,821572,0.156832217,0.045929773
Baltimore, MD,2017,1165,319,681,39.2946,-76.6745,619796,35,46641,28488,133793,0.215866188,0.049611485
District of Columbia, DC,2017,1142,100,340,38.9552,-77.0225,672391,33.9,77649,50832,111025,0.1651197,0.046519064
Milwaukee, WI,2017,849,112,392,42.9655,-87.8576,956586,34.6,46784,26933,191973,0.200685563,0.036515274
Los Angeles, CA,2017,792,406,366,33.8127,-118.263,10105722,36,61015,30798,1688505,0.167084054,0.040217413
Duval, FL,2017,791,115,315,30.4548,-81.7599,912043,36,51296,28593,143014,0.156806203,0.037823875
St. Louis, MO,2017,769,311,525,38.6904,-90.2433,314867,35.2,38664,26739,76472,0.242870799,0.049852795
Orleans, LA,2017,716,154,503,29.9497,-90.0887,388182,35.9,38721,29275,95346,0.245621899,0.043672813
Shelby, TN,2017,662,172,500,35.0759,-90.0131,937847,35.3,48415,28117,191520,0.204212414,0.04307419
Harris, TX,2017,641,305,438,29.7035,-95.5973,4525519,33.1,57791,30856,751985,0.166165472,0.032966827
Philadelphia, PA,2017,570,223,454,39.9294,-75.1616,1569657,34.1,40649,24811,393924,0.250961834,0.054189546
Cuyahoga, OH,2017,550,142,357,41.4261,-81.7204,1257401,40.4,46720,30441,225265,0.179151281,0.045862855
Suffolk, MA,2017,538,52,185,42.2802,-71.0759,780685,32.6,61242,38031,144661,0.185300089,0.041699277
Wayne, MI,2017,502,181,374,42.417,-83.1539,1763822,37.9,43702,24847,413769,0.234586597,0.053649405
Marion, IN,2017,428,158,234,39.7529,-86.1236,939964,34.3,44869,26284,182317,0.193961684,0.041752663
Jefferson, AL,2017,389,159,254,33.4527,-86.8918,659460,37.6,49321,29456,113368,0.171910351,0.037976526
Peoria, IL,2017,382,13,70,40.7655,-89.6122,186145,37,53063,29683,28747,0.154433372,0.040946574
Franklin, OH,2017,372,132,266,39.9503,-82.9577,1253507,34,56319,31199,203877,0.162645282,0.031182115
Palm Beach, FL,2017,372,97,161,26.6759,-80.2093,1426772,44.4,57256,36303,189156,0.132576193,0.036748689
Bexar, TX,2017,368,114,258,29.5797,-98.3735,1892004,33.3,53999,26158,304792,0.161094797,0.03004222
Maricopa, AZ,2017,352,187,202,33.4715,-112.185,4155501,36,58580,30186,644476,0.155089844,0.029890499
San Joaquin, CA,2017,349,42,108,37.9548,-121.271,724153,33.9,57813,24694,121296,0.167500514,0.045944711
Davidson, TN,2017,345,90,229,36.0928,-86.6303,678322,34.3,53419,32347,111103,0.163790943,0.029962171
Pulaski, AR,2017,344,62,247,34.7275,-92.2663,392848,36.7,48850,29855,67056,0.170691972,0.028924673
Jefferson, KY,2017,343,107,223,38.2004,-85.7987,764378,38,52237,31039,112275,0.146884133,0.033441569
Clark, NV,2017,341,166,170,36.2766,-115.08,2112436,36.9,54882,27719,304449,0.144122236,0.042056185
Mecklenburg, NC,2017,339,82,219,35.3465,-80.8415,1034290,34.9,61695,35669,136399,0.13187694,0.037739899
Hamilton, OH,2017,338,86,248,39.2013,-84.4603,808703,36.9,52389,32638,134499,0.166314457,0.036567195
Jackson, MO,2017,334,149,196,39.0979,-94.5221,688554,36.6,50652,28965,108026,0.156888203,0.02951112
Fulton, GA,2017,333,118,230,33.7222,-84.4274,1010420,35.2,61336,41041,156519,0.154904891,0.041348152
Miami-Dade, FL,2017,332,125,245,25.8028,-80.2155,2702602,39.5,46338,25481,505182,0.186924305,0.037359552
Alameda, CA,2017,330,76,215,37.7663,-122.18,1629615,37.3,85743,41363,181194,0.111188225,0.032630407
Allegheny, PA,2017,327,98,214,40.368,-79.8939,1229605,40.9,56333,35280,149568,0.121639063,0.03196555
Tulsa, OK,2017,320,76,154,36.2258,-95.9977,637123,35.4,52017,29797,97358,0.152808798,0.030333232
Kern, CA,2017,318,78,116,35.4053,-118.963,878744,31.3,50826,21716,191123,0.217495653,0.046750817
Fairfield, CT,2017,307,27,126,41.1723,-73.1966,947328,40.2,89773,53433,81422,0.085949112,0.041283484
Winnebago, IL,2017,299,20,126,42.2979,-89.1198,287512,39.6,51110,27297,43159,0.150111995,0.051211776
Dallas, TX,2017,297,152,182,32.7759,-96.8033,2552213,33.3,53626,29810,446611,0.174989705,0.030812867
Hennepin, MN,2017,289,45,131,44.9849,-93.2427,1224763,36.3,71154,41794,138478,0.11306514,0.026651687
King, WA,2017,286,81,141,47.537,-122.275,2118119,37.2,83571,46316,212509,0.100329113,0.02835818
Richmond, VA,2017,284,85,209,37.8494,-76.7181,220892,33.5,42356,30113,52942,0.239673687,0.047815222
Kings, NY,2017,279,70,184,40.6743,-74.0041,2635121,34.8,52782,29928,570731,0.216586259,0.040596238
San Bernardino, CA,2017,278,96,100,34.0706,-117.672,2121220,32.9,57156,22867,374810,0.176695487,0.044822791
East Baton Rouge, LA,2017,275,104,153,30.5845,-91.1177,446167,33.4,51436,30162,83483,0.187111552,0.035735498
Orange, FL,2017,274,72,167,28.5317,-81.4594,1290216,34.7,51586,27394,209366,0.162272054,0.036204015
New Castle, DE,2017,269,42,196,39.7576,-75.5016,555036,37.8,68336,34541,64082,0.115455574,0.033453686
Essex, MA,2017,247,18,46,42.7875,-71.0877,775860,40.8,73533,38604,82434,0.10624855,0.032803599
Montgomery, OH,2017,246,44,116,39.7878,-84.212,531987,39.3,47045,27602,92085,0.173096335,0.039190807
Mobile, AL,2017,243,66,136,30.692,-88.0418,414328,37.3,45802,24347,78256,0.188874515,0.033734143
Oklahoma, OK,2017,240,78,116,35.5029,-97.5477,774203,34.4,50762,29127,128566,0.166062389,0.026007391
Mercer, NJ,2017,237,26,149,40.2042,-74.7389,373362,38.6,77027,40064,40450,0.108339895,0.039371977
Riverside, CA,2017,236,63,92,33.7586,-116.919,2355002,35,60807,25700,362215,0.153806663,0.045597838
Fresno, CA,2017,231,57,143,36.7256,-119.797,971616,31.8,48730,22234,243040,0.250139973,0.046638796
